month,market_area,closed_sales,pending_sales,active_listings,new_listings,months_inventory,median_price,days_on_market,sale_to_list_ratio,single_family_permits,multi_family_permits,mortgage_rate_30yr,zhvi_typical_home_value,price_yoy_change,sales_yoy_change,inventory_yoy_change,dom_yoy_change,permit_yoy_change,affordability_pressure_index,market_condition_score,market_condition_label
2020-06-01,"Houston, TX metro area",9619.0,12911.0,22955.0,11038.0,2.4,261000.0,42.0,0.9772,485.0,147.0,3.162,233339.07,0.0357,0.1128,-0.2275,9.0,0.3621,-0.49,0.458,balanced
2020-07-01,"Houston, TX metro area",11111.0,12287.0,22446.0,11851.0,2.0,270000.0,37.0,0.9794,520.0,622.0,3.016,233750.52,0.0804,0.1914,-0.2459,3.0,0.4257,-0.471,0.862,warmer
2020-08-01,"Houston, TX metro area",9409.0,11698.0,21037.0,10198.0,2.2,265000.0,32.0,0.9795,493.0,714.0,2.935,234950.28,0.0643,0.0397,-0.2777,-7.0,0.4684,-0.542,0.635,warmer
2020-09-01,"Houston, TX metro area",9402.0,10672.0,20104.0,9699.0,2.1,261000.0,31.0,0.98,610.0,620.0,2.89,236773.39,0.0741,0.274,-0.2873,-16.0,-0.0689,-0.592,1.027,warmer
2020-10-01,"Houston, TX metro area",9475.0,10837.0,19591.0,10239.0,2.1,265000.0,30.0,0.9803,636.0,537.0,2.834,239007.87,0.1046,0.2645,-0.2846,-20.0,0.5214,-0.58,1.136,warmer
2020-11-01,"Houston, TX metro area",8338.0,9424.0,18355.0,8048.0,2.2,268500.0,29.0,0.9811,445.0,466.0,2.765,241727.81,0.1095,0.254,-0.2979,-23.0,-0.3869,-0.577,1.145,warmer
2020-12-01,"Houston, TX metro area",10056.0,8476.0,16651.0,7050.0,1.7,270775.0,30.0,0.9809,467.0,889.0,2.684,244463.15,0.0745,0.247,-0.3152,-27.0,1.2121,-0.588,1.091,warmer
2021-01-01,"Houston, TX metro area",6299.0,9966.0,15840.0,8814.0,2.5,260219.0,31.0,0.9808,538.0,283.0,2.735,247308.44,0.112,0.2631,-0.3566,-31.0,-0.4581,-0.656,1.153,warmer
2021-02-01,"Houston, TX metro area",6281.0,9357.0,14416.0,7632.0,2.3,274900.0,32.0,0.9831,443.0,497.0,2.81,250178.08,0.122,0.0026,-0.431,-31.0,-0.1031,-0.508,0.926,warmer
2021-03-01,"Houston, TX metro area",9785.0,12485.0,13374.0,10808.0,1.4,288000.0,25.0,0.9872,668.0,396.0,3.082,253363.17,0.1543,0.2574,-0.4946,-24.0,-0.5348,-0.298,1.665,warmer
2021-04-01,"Houston, TX metro area",9925.0,12513.0,13452.0,12004.0,1.4,293780.0,17.0,0.9933,621.0,1367.0,3.06,256809.15,0.1658,0.5684,-0.482,-20.0,0.5955,-0.259,2.195,warmer
2021-05-01,"Houston, TX metro area",10208.0,11922.0,13981.0,11865.0,1.4,300000.0,13.0,0.9986,487.0,30.0,2.962,260804.16,0.2048,0.5236,-0.4331,-29.0,-0.3664,-0.245,2.273,warmer
2021-06-01,"Houston, TX metro area",11091.0,12141.0,15622.0,13418.0,1.4,310970.0,10.0,1.0041,599.0,328.0,2.975,265180.35,0.1915,0.153,-0.3195,-32.0,0.4668,-0.15,1.639,warmer
2021-07-01,"Houston, TX metro area",10548.0,11701.0,17900.0,13544.0,1.7,307000.0,11.0,1.0029,627.0,1807.0,2.868,269221.38,0.137,-0.0507,-0.2025,-26.0,1.1313,-0.222,0.991,warmer
2021-08-01,"Houston, TX metro area",10314.0,12158.0,17992.0,11662.0,1.7,306919.0,13.0,0.9981,775.0,550.0,2.843,272350.31,0.1582,0.0962,-0.1447,-19.0,0.0978,-0.232,1.201,warmer
